1253	2335
1253	8915
1253	11459
23951	8302
23951	18364
2560	9446
13990	10635
13990	28956
13990	31656
17410	22182
17410	24277
17410	31176
7832	9236
13344	4760
13344	5960
16505	1602
16505	23398
15400	13008
15400	27604
15400	28535
5619	12645
5619	20185
5619	25288
5619	28894
2084	7409
2084	9021
10717	22084
10717	24070
10717	27255
8836	6859
8836	9337
8836	15372
6806	6054
6806	16256
6806	23062
17598	8605
17598	19430
17598	24480
16525	25761
15404	5352
15404	19620
15404	24119
15404	27057
21064	4094
21064	7227
12857	3441
12857	12543
12857	15156
12857	21630
15649	3548
15649	3886
15649	5482
15649	25767
20953	17660
20953	24930
20953	29835
10875	4112
10875	20499
10875	24483
16145	22379
16145	31448
4045	463
4045	4612
4045	19823
4045	27048
1639	11372
1639	16272
1639	26860
1639	27309
10334	3469
10334	8425
14092	1148
14092	4623
14092	13208
14092	20055
2463	3150
2463	18575
2463	24647
2463	29527
13825	1171
13825	27442
6546	7008
6546	14126
6546	29609
4164	976
4164	11680
4164	18764
4164	30476
21627	4418
21627	5779
21627	22616
1703	4829
1703	4946
1703	6964
1703	19081
1703	31231
271	10466
271	31750
14236	12011
20969	5758
20969	13401
1387	19912
1387	26061
16886	4418
16886	26084
14466	16049
14466	23316
14466	30055
23294	805
23294	2405
23294	16119
17073	9193
17073	28432
13850	351
13850	7100
13850	28451
5587	839
5587	3880
5587	3884
5587	30933
9426	1351
9426	4638
9426	6731
9426	13968
18535	2417
18535	4339
11035	3437
11035	5946
11035	27048
12158	20026
3489	9400
3489	16508
3489	18881
1779	5920
1779	30851
2277	23675
20011	13460
20011	24415
20011	24956
20771	4159
20771	27541
22331	4050
22331	4485
22331	7637
22331	30164
5500	2016
5500	6897
5500	17191
5500	23830
6681	13217
6681	27594
15280	7623
15280	13829
15280	22728
20164	14198
12090	6798
12090	18222
15538	14833
15538	15980
15538	23008
252	1990
252	6342
252	7372
252	10202
252	10609
17501	8363
17501	19389
17501	29482
14852	10409
14852	10543
14852	23276
18155	7552
18155	9005
18155	9346
18155	14618
7199	11682
7199	23276
7199	31882
175	475
175	26262
175	27985
13960	25135
13960	26892
13960	31850
9464	8287
9464	16572
9464	24784
9016	4320
9016	14787
9016	16519
21538	5556
21538	17997
8082	6467
8082	16874
8082	23062
10105	18498
162	4092
162	28251
162	29604
9913	9881
9913	27565
9913	28171
22097	4086
22097	7227
22097	10379
22097	12920
7406	18999
7406	24877
13987	138
13987	11850
13987	16270
13987	23514
5302	2783
5302	10987
5302	23065
5302	23483
11649	4821
11649	6426
11649	20555
11649	30343
20144	8704
21945	821
21945	25643
4618	1700
4618	17664
4618	25001
930	22453
22795	7537
22795	16438
22795	19192
22795	20204
9563	2562
9563	17834
18433	2494
18433	5686
18433	28480
18433	29482
2372	8755
2372	22898
7718	3437
7718	6675
7718	9726
7718	14772
7252	1941
7252	7612
7252	17748
7252	19410
8791	1995
8791	3250
8791	24153
6527	1530
4254	2072
4254	26469
1889	1795
1889	7998
1889	8778
15833	700
15833	12982
15833	18512
5901	2743
20291	253
