0,146
0,1406
0,1407
0,1408
0,1409
0,1410
0,1128
1,1128
1,1409
1,1408
1,1407
2,1406
2,146
3,917
3,476
4,1245
4,1087
5,488
5,1335
6,596
6,501
7,604
7,862
7,79
8,427
8,918
9,426
9,1265
10,955
10,109
11,962
11,646
11,729
11,1457
11,194
12,646
12,729
12,194
13,1357
13,84
13,805
14,376
14,1260
14,815
15,715
15,376
15,1260
15,805
16,1260
16,815
17,1395
17,1394
17,1393
18,1179
18,1366
18,1392
19,224
19,1392
19,1366
19,1179
19,1393
19,1394
19,1395
20,1363
20,448
20,114
20,207
20,855
20,801
21,9
21,108
22,1363
22,448
23,1390
23,1096
24,223
24,790
25,1096
25,790
26,590
26,1096
27,129
27,272
27,1328
28,119
28,262
28,975
29,129
29,530
29,272
29,1328
30,1109
30,1157
30,1355
30,808
30,1315
30,297
31,517
31,1187
32,517
32,1187
32,297
33,281
33,491
33,169
34,618
34,967
35,982
35,87
35,199
35,464
35,1019
35,215
35,1147
35,288
36,215
36,288
37,288
37,1147
37,215
37,1019
37,464
37,199
37,87
37,982
38,485
38,1389
39,1129
39,945
40,1129
40,485
40,1389
40,945
41,53
41,1353
41,747
41,124
41,1405
41,1342
41,1085
42,419
42,631
42,1290
42,348
42,1024
43,348
43,419
44,1024
44,1290
44,631
45,31
45,1317
45,1367
46,85
46,679
46,1210
46,204
47,31
47,679
48,1146
48,1367
49,679
49,1210
50,85
50,204
51,344
51,694
52,48
52,990
53,1033
53,691
54,694
54,1033
54,48
54,990
55,635
55,649
56,1063
56,924
57,1194
57,443
58,218
58,460
58,802
59,593
59,263
60,263
60,1213
60,891
60,593
60,1029
61,1213
61,263
62,1029
62,891
62,1213
63,252
63,585
64,461
64,1254
64,1073
65,585
65,252
65,1073
65,1254
65,461
66,636
66,1030
67,629
67,254
68,1030
68,254
68,629
68,636
69,18
69,441
69,342
69,393
69,1340
70,18
70,342
70,393
70,1340
71,1277
71,610
72,1344
72,441
73,637
73,807
73,286
73,60
73,1299
73,1043
73,809
73,627
74,627
74,60
74,286
75,809
75,637
76,1480
76,1479
76,12
77,339
77,594
77,361
78,339
78,350
79,1103
79,1141
79,350
80,594
80,1141
81,1295
81,423
82,1295
82,1323
83,1323
83,423
83,1295
83,121
84,128
84,483
84,1021
84,1358
84,1000
84,234
84,468
84,10
85,468
85,483
86,10
86,234
86,1000
86,128
87,411
87,11
87,658
87,844
87,696
88,411
88,11
88,696
89,575
89,683
89,658
89,1316
90,768
90,513
90,1145
90,230
90,1440
90,296
90,503
91,503
91,1440
91,230
92,513
92,768
93,1427
93,1426
94,1050
94,153
95,814
95,16
95,1232
96,1427
96,1050
96,153
96,1136
96,1426
97,1232
97,1426
97,16
